"date","Elev (m)"
1985-01-01,303.583848
1985-01-02,303.583848
1985-01-03,303.583848
1985-01-04,303.583848
1985-01-05,303.583848
1985-01-06,303.583848
1985-01-07,303.583848
1985-01-08,303.583848
1985-01-09,303.583848
1985-01-10,303.583848
1985-01-11,303.583848
1985-01-12,303.583848
1985-01-13,303.583848
1985-01-14,303.583848
1985-01-15,303.583848
1985-01-16,303.583848
1985-01-17,303.583848
1985-01-18,303.583848
1985-01-19,303.583848
1985-01-20,303.583848
1985-01-21,303.583848
1985-01-22,303.583848
1985-01-23,303.583848
1985-01-24,303.583848
1985-01-25,303.583848
1985-01-26,303.583848
1985-01-27,303.583848
1985-01-28,303.583848
1985-01-29,303.583848
1985-01-30,303.583848
1985-01-31,303.583848
1985-02-01,303.583848
1985-02-02,303.583848
1985-02-03,303.583848
1985-02-04,303.583848
1985-02-05,303.583848
1985-02-06,303.583848
1985-02-07,303.583848
1985-02-08,303.583848
1985-02-09,303.583848
1985-02-10,303.583848
1985-02-11,303.583848
1985-02-12,303.583848
1985-02-13,309.451248
1985-02-14,309.527448
1985-02-15,309.527448
1985-02-16,309.527448
1985-02-17,309.527448
1985-02-18,309.832248
1985-02-19,309.926736
1985-02-20,309.999888
1985-02-21,310.030368
1985-02-22,310.030368
1985-02-23,310.030368
1985-02-24,310.155336
1985-02-25,310.198008
1985-02-26,310.24068
1985-02-27,310.24068
1985-02-28,310.304688
1985-03-01,310.304688
1985-03-02,310.304688
1985-03-03,310.46928
1985-03-04,310.518048
1985-03-05,310.588152
1985-03-06,310.679592
1985-03-07,310.77408
1985-03-08,310.77408
1985-03-09,310.77408
1985-03-10,310.902096
1985-03-11,310.960008
1985-03-12,311.024016
1985-03-13,311.106312
1985-03-14,311.197752
1985-03-15,311.197752
1985-03-16,311.197752
1985-03-17,311.197752
1985-03-18,311.47512
1985-03-19,311.557416
1985-03-20,312.118248
1985-03-21,311.877456
1985-03-22,311.877456
1985-03-23,311.877456
1985-03-24,312.139584
1985-03-25,312.246264
1985-03-26,312.426096
1985-03-27,312.426096
1985-03-28,312.560208
1985-03-29,312.560208
1985-03-30,312.560208
1985-03-31,312.874152
1985-04-01,312.993024
1985-04-02,313.114944
1985-04-03,313.246008
1985-04-04,313.386216
1985-04-05,313.386216
1985-04-06,313.386216
1985-04-07,313.797696
1985-04-08,313.944
1985-04-09,314.047632
1985-04-10,314.148216
1985-04-11,314.260992
1985-04-12,314.260992
1985-04-13,314.260992
1985-04-14,314.510928
1985-04-15,314.544456
1985-04-16,314.559696
1985-04-17,314.605416
1985-04-18,314.605416
1985-04-19,314.605416
1985-04-20,314.605416
1985-04-21,314.605416
1985-04-22,314.678568
1985-04-23,314.66028
1985-04-24,314.648088
1985-04-25,314.632848
1985-04-26,314.632848
1985-04-27,314.632848
1985-04-28,314.4012
1985-04-29,314.376816
1985-04-30,314.105544
1985-05-01,314.017152
1985-05-02,313.92876
1985-05-03,313.92876
1985-05-04,313.92876
1985-05-05,313.687968
1985-05-06,313.660536
1985-05-07,313.511184
1985-05-08,313.386216
1985-05-09,313.24296
1985-05-10,313.24296
1985-05-11,313.24296
1985-05-12,312.898536
1985-05-13,312.810144
1985-05-14,312.730896
1985-05-15,312.368184
1985-05-16,312.093864
1985-05-17,312.093864
1985-05-18,312.093864
1985-05-19,311.843928
1985-05-20,311.725056
1985-05-21,311.590944
1985-05-22,311.472072
1985-05-23,311.389776
1985-05-24,311.389776
1985-05-25,311.389776
1985-05-26,311.389776
1985-05-27,310.831992
1985-05-28,310.755792
1985-05-29,310.6674
1985-05-30,310.563768
1985-05-31,310.563768
1985-06-01,310.563768
1985-06-02,310.49976
1985-06-03,310.246776
1985-06-04,310.16448
1985-06-05,310.063896
1985-06-06,310.063896
1985-06-07,310.063896
1985-06-08,310.063896
1985-06-09,309.573168
1985-06-10,309.396384
1985-06-11,309.256176
1985-06-12,309.146448
1985-06-13,309.00624
1985-06-14,309.00624
1985-06-15,309.00624
1985-06-16,308.421024
1985-06-17,308.24424
1985-06-18,308.0766
1985-06-19,307.860192
1985-06-20,307.674264
1985-06-21,307.674264
1985-06-22,307.674264
1985-06-23,307.064664
1985-06-24,306.817776
1985-06-25,306.595272
1985-06-26,306.403248
1985-06-27,306.119784
1985-06-28,306.119784
1985-06-29,306.119784
1985-06-30,305.187096
1985-07-01,304.900584
1985-07-02,304.717704
1985-07-03,304.717704
1985-07-04,304.202592
1985-07-05,304.202592
1985-07-06,304.202592
1985-07-07,304.202592
1985-07-08,303.1236
1985-07-09,302.840136
1985-07-10,302.541432
1985-07-11,302.297592
1985-07-12,302.297592
1985-07-13,302.297592
1985-07-14,301.441104
1985-07-15,301.118016
1985-07-16,300.816264
1985-07-17,300.535848
1985-07-18,300.535848
1985-07-19,300.535848
1985-07-20,300.535848
1985-07-21,299.219112
1985-07-22,298.892976
1985-07-23,298.606464
1985-07-24,298.359576
1985-07-25,298.143168
1985-07-26,298.143168
1985-07-27,298.143168
1985-07-28,297.390312
1985-07-29,297.140376
1985-07-30,296.908728
1985-07-31,296.734992
1985-08-01,296.47896
1985-08-02,296.47896
1985-08-03,296.47896
1985-08-04,295.765728
1985-08-05,295.537128
1985-08-06,295.262808
1985-08-07,295.018968
1985-08-08,295.018968
1985-08-09,295.018968
1985-08-10,295.018968
1985-08-11,294.037512
1985-08-12,293.790624
1985-08-13,293.555928
1985-08-14,293.342568
1985-08-15,293.083488
1985-08-16,293.083488
1985-08-17,293.083488
1985-08-18,292.321488
1985-08-19,292.114224
1985-08-20,291.961824
1985-08-21,291.80028
1985-08-22,291.644832
1985-08-23,291.644832
1985-08-24,291.644832
1985-08-25,291.196776
1985-08-26,291.132768
1985-08-27,291.047424
1985-08-28,290.965128
1985-08-29,290.788344
1985-08-30,290.788344
1985-08-31,290.788344
1985-09-01,290.788344
1985-09-02,290.178744
1985-09-03,290.178744
1985-09-04,289.944048
1985-09-05,289.889184
1985-09-06,289.889184
1985-09-07,289.889184
1985-09-08,289.889184
1985-09-09,290.008056
1985-09-10,290.10864
1985-09-11,290.10864
1985-09-12,290.20008
1985-09-13,290.20008
1985-09-14,290.20008
1985-09-15,290.334192
1985-09-16,290.440872
